Year,Month,City,Address,Prov,Country,Identifier,Area,UoM,Tenure,Latitude,Agent,Longitude
2019,JUL,Allison Pass,7413 Southern Trans Prov Hwy. 3,BC,CA,B0022830,287.8,SQ-M,Owned,49.11536111,Ramasundar,-120.8670833
2019,JUL,Allison Pass,7413 Southern Trans Prov Hwy. 3,BC,CA,B0022863,23.5,SQ-M,Owned,49.11419444,Ramasundar,-120.8676389
2019,JUL,Anahim Lake,22496 Chilcotin Hwy 20,BC,CA,B0082768,18.13,SQ-M,Owned,52.46047222,Ramasundar,-125.3071111
2019,JUL,Anahim Lake,Chilcotin Hwy. 20,BC,CA,B0090475,9.29,SQ-M,Owned,52.45961111,Ramasundar,-125.3131944
2019,JUL,Anahim Lake,Lot 279 Christensen Road,BC,CA,N2000479,6.578,HA,Owned,,Ramasundar,
2019,JUL,Anahim Lake,Lot 281 Chilcotin Hwy.,BC,CA,N2000478,2.028,HA,Owned,,Ramasundar,
2019,JUL,Ashcroft,318 Railway Ave.,BC,CA,B0092590,141.6,SQ-M,Leased,50.72341667,Ramasundar,-121.2795278
2019,JUL,Ashcroft,611 Railway Ave.,BC,CA,B0067564,302.1,SQ-M,Leased,50.720876,Ramasundar,-121.280434
2019,JUL,Atlin,3rd St.,BC,CA,B0092428,169.3,SQ-M,Leased,59.578028,Ramasundar,-133.689524
2019,JUL,Atlin,3rd St.,BC,CA,B0092477,115.2,SQ-M,Leased,59.57498284,Ramasundar,-133.7021542
2019,JUL,Atlin,3rd St.,BC,CA,B0092478,19.97,SQ-M,Leased,59.578028,Ramasundar,-133.689524
2019,JUL,Atlin,3rd St.,BC,CA,B0092479,5.11,SQ-M,Leased,59.578028,Ramasundar,-133.689524
2019,JUL,Atlin,Mcbride Blvd,BC,CA,N0001498,1.9,HA,Owned,,Ramasundar,
2019,JUL,Atlin,Mcbride Blvd.,BC,CA,B0070037,67.1,SQ-M,Owned,59.57498284,Ramasundar,-133.7021542
2019,JUL,Atlin,Mcbride Blvd.,BC,CA,B0078095,215.2,SQ-M,Owned,59.57498284,Ramasundar,-133.7021542
2019,JUL,Atlin,Mcbride Blvd.,BC,CA,B0085381,7.4,SQ-M,Owned,59.57498284,Ramasundar,-133.7021542
2019,JUL,Atlin,Munro Ave. & 4th St.,BC,CA,B0078024,58,SQ-M,Owned,59.57498284,Ramasundar,-133.7021542
2019,JUL,Avola,"Hwy. 5, N.",BC,CA,N0001224,0.2023,HA,Owned,,Ramasundar,
2019,JUL,Balfour,585 Glady St.,BC,CA,B0032227,100.1,SQ-M,Owned,49.626584,Ramasundar,-116.951912
2019,JUL,Balfour,585 Glady St.,BC,CA,N0001262,0.2007,HA,Owned,,Ramasundar,
2019,JUL,Barnston Island,329 Dyke Rd.,BC,CA,N2000562,0.0813,HA,Owned,,Ramasundar,
2019,JUL,Bella Bella,79 Waglisla St.,BC,CA,B1002531,16.35,SQ-M,Leased,52.165608,Alford,-128.144537
2019,JUL,Bella Coola,636 Cliff St.,BC,CA,B0082826,365.4,SQ-M,Owned,52.37216667,Alford,-126.7546389
2019,JUL,Bella Coola,636 Cliff St.,BC,CA,B0082834,18,SQ-M,Owned,52.37182635,Alford,-126.7547607
2017,JUL,Bella Coola,636 Cliff St.,BC,CA,N0001484,0.1561,HA,Owned,,Alford,
2017,JUL,Bob Quinn Lake,Hwy. 37,BC,CA,N2000483,0.0279,HA,Leased,,Alford,
2017,JUL,Bob Quinn Lake,Stewart Cassiar Hwy. 37,BC,CA,B1002402,55.18,SQ-M,Owned,56.977742,Alford,-130.250913
2017,JUL,Bob Quinn Lake,Stewart Cassiar Hwy. 37,BC,CA,B1002403,55.18,SQ-M,Owned,56.981039,Alford,-130.24808
2017,JUL,Burnaby,3133 Sumner Ave.,BC,CA,B0067103,552.13,SQ-M,Leased,49.255998,Alford,-123.0083
2017,JUL,Burnaby,4170 Still Creek Dr.,BC,CA,B0092718,1588.65,SQ-M,Leased,49.26015556,Alford,-123.0119419
2017,JUL,Burnaby,4370 Dominion St.,BC,CA,B0092701,656.92,SQ-M,Leased,49.2562899,Alford,-123.0063705
2017,JUL,Burnaby,4425 Ledger Ave.,BC,CA,B0092115,431.23,SQ-M,Leased,49.246791,Alford,-122.972965
2017,JUL,Burnaby,4430 Halifax St.,BC,CA,B0067336,544,SQ-M,Leased,49.267977,Alford,-123.005581
2017,JUL,Burnaby,4601 Canada Way,BC,CA,B1002683,757.44,SQ-M,Leased,49.255164,Alford,-122.994593
2017,JUL,Burnaby,4603 Kingsway,BC,CA,B0067483,2118.96,SQ-M,Leased,49.229591,Alford,-123.002415
2017,JUL,Burnaby,4664 Lougheed Hwy.,BC,CA,B1002518,487.55,SQ-M,Leased,49.265388,Alford,-122.99825
2017,JUL,Burnaby,4720 Kingsway,BC,CA,B0068122,1497.32,SQ-M,Leased,49.228028,Alford,-122.998586
2017,JUL,Burnaby,4940 Canada Way,BC,CA,B0062760,987.65,SQ-M,Leased,49.244966,Alford,-122.973378
2017,JUL,Burnaby,4946 Canada Way,BC,CA,B0058065,209.37,SQ-M,Leased,49.24473,Alford,-122.972991
2017,JUL,Burnaby,5021 Kingsway,BC,CA,B0054585,1366.31,SQ-M,Leased,49.225902,Alford,-122.991548
2017,JUL,Burnaby,5172 Kingsway ,BC,CA,B1002455,797.67,SQ-M,Leased,49.225012,Alford,-122.98899
2017,JUL,Burnaby,7645 Kingsway,BC,CA,B0067335,1042.71,SQ-M,Leased,49.216129,Alford,-122.941947
2017,JUL,Burnaby,7900 Fraser Park Dr.,BC,CA,B0078174,12509,SQ-M,Owned,49.18586111,Alford,-122.9857778
2017,JUL,Burnaby,7900 Fraser Park Dr.,BC,CA,B0078452,313,SQ-M,Owned,49.18697222,Alford,-122.9848333
2017,JUL,Burnaby,7900 Fraser Park Dr.,BC,CA,B0078453,1267.4,SQ-M,Owned,49.18592506,Alford,-122.9855382
2017,JUL,Burnaby,7900 Fraser Park Dr.,BC,CA,B0078454,240,SQ-M,Owned,49.18592506,Alford,-122.9855382
2017,JUL,Burnaby,"7900 Fraser Park Dr.,",BC,CA,N0001687,7.285,HA,Owned,,Alford,
2017,JUL,Burns Lake,108 2nd Ave.,BC,CA,B0054353,315.87,SQ-M,Leased,54.229243,Alford,-125.762293
2017,JUL,Burns Lake,161 Hwy. 16 W.,BC,CA,B0092515,333.5,SQ-M,Leased,54.2254,Alford,-125.755723
2017,JUL,Burns Lake,183 Hwy. 16 W.,BC,CA,B0067280,1434.9,SQ-M,Leased,54.22522222,Alford,-125.7568056
2017,JUL,Burns Lake,183 Hwy. 16 W.,BC,CA,B0077669,24.4,SQ-M,Leased,54.22447222,Alford,-125.7566944
2019,JUL,Burns Lake,183 Hwy. 16 W.,BC,CA,B0077677,138.6,SQ-M,Leased,54.2291667,Alford,-125.7625
2019,JUL,Burns Lake,183 Hwy. 16 W.,BC,CA,B1002264,44.6,SQ-M,Leased,54.2291667,Alford,-125.7625
2019,JUL,Burns Lake,508 Hwy. 16 W.,BC,CA,B0071985,471.8,SQ-M,Owned,54.231656,Alford,-125.763106
2019,JUL,Burns Lake,508 Hwy. 16 W.,BC,CA,N0001311,0.236,HA,Owned,,Alford,
2019,JUL,Burns Lake,51 Francois Lake Dr.,BC,CA,B1002358,99.92,SQ-M,Owned,54.22309722,Alford,-125.7652278
2019,JUL,Burns Lake,51 Francois Lake Drive,BC,CA,N2000457,2.42,HA,Owned,,Alford,
2019,JUL,Campbell River,1040 Shopper'S Row,BC,CA,B0065557,724.97,SQ-M,Leased,50.026198,Alford,-125.244545
2019,JUL,Campbell River,1100 Island Hwy.,BC,CA,B0091579,720.65,SQ-M,Leased,49.988297,Alford,-125.226326
2019,JUL,Campbell River,1180 Ironwood St.,BC,CA,B0058453,1464.7,SQ-M,Leased,50.02636389,Alford,-125.2553222
2019,JUL,Campbell River,1400 Dogwood St.  Cru#2,BC,CA,B0092632,133.96,SQ-M,Leased,50.029143,Alford,-125.250039
2019,JUL,Campbell River,2231 S. Island Hwy.,BC,CA,B0092638,192.31,SQ-M,Leased,49.970837,Alford,-125.215441
2019,JUL,Campbell River,370 S. Dogwood,BC,CA,N0001582,0.831,HA,Owned,,Alford,
2019,JUL,Campbell River,370 S. Dogwood St.,BC,CA,B0072421,1767.51,SQ-M,Owned,50.00064444,Alford,-125.2480444
2019,JUL,Campbell River,370 S. Dogwood St.,BC,CA,B0072439,886.9,SQ-M,Owned,50.00083889,Alford,-125.2486222
2019,JUL,Campbell River,370 S. Dogwood St.,BC,CA,B0072447,25.2,SQ-M,Owned,50.00112778,Alford,-125.2490972
2019,JUL,Campbell River,370 S. Dogwood St.,BC,CA,B0072454,246.2,SQ-M,Owned,50.00111111,Alford,-125.2500444
2019,JUL,Campbell River,370 S. Dogwood St.,BC,CA,B0078403,23.7,SQ-M,Owned,50.00112222,Alford,-125.2487556
2019,JUL,Campbell River,370 S. Dogwood St.,BC,CA,N0001872,1.033,HA,Owned,,Alford,
2019,JUL,Campbell River,500 13th Ave.,BC,CA,B0048801,2157.1,SQ-M,Owned,50.02811111,Alford,-125.24725
2019,JUL,Campbell River,510 13th Ave.,BC,CA,N0001451,0.336,HA,Owned,,Alford,
2019,JUL,Campbell River,833 14th Ave.,BC,CA,B0067836,478.7,SQ-M,Leased,50.02913,Alford,-125.253362
2019,JUL,Campbell River,929 Ironwood St.(A/B),BC,CA,B0067148,691.4,SQ-M,Leased,50.023755,Alford,-125.256364
2019,JUL,Cassiar,94 Cornnell Dr.,BC,CA,N0001461,0.1232,HA,Owned,,Alford,
2019,JUL,Castlegar,1472 Columbia Ave.,BC,CA,B0092582,372.63,SQ-M,Leased,49.307481,Alford,-117.658894
2019,JUL,Castlegar,555 Columbia Ave.,BC,CA,B0072389,554,SQ-M,Owned,49.32308333,Alford,-117.6658889
2019,JUL,Castlegar,555 Columbia St.,BC,CA,N0092097,0.3465,HA,Leased,,Alford,
2019,JUL,Castlegar,620 17 St.,BC,CA,B0092258,284.65,SQ-M,Leased,49.300705,Alford,-117.654817
2019,JUL,Castlegar,845 Columbia Ave.,BC,CA,B0077206,1422.95,SQ-M,Owned,49.31802778,Alford,-117.6642583
2019,JUL,Castlegar,845 Columbia Ave.,BC,CA,B0077214,22.8,SQ-M,Owned,49.31716667,Alford,-117.6637194
2019,JUL,Castlegar,845 Columbia Ave.,BC,CA,B0077222,185.5,SQ-M,Owned,49.3174,Alford,-117.6637806
2019,JUL,Castlegar,845 Columbia Ave.,BC,CA,B0090429,93.6,SQ-M,Owned,49.317075,Alford,-117.6639667
2019,JUL,Castlegar,845 Columbia Ave.,BC,CA,N0001511,1.0021,HA,Owned,,Alford,
2019,JUL,Central Saanich,2261 Keating Cross Rd.,BC,CA,B0092413,3456.44,SQ-M,Leased,48.56438889,Alford,-123.4062222
2019,JUL,Central Saanich,6578 Bryn Rd.,BC,CA,B0092041,1396.5,SQ-M,Leased,48.56047222,Alford,-123.4245556
2019,JUL,Central Saanich,7851 East Saanich Rd.,BC,CA,B0092617,390.06,SQ-M,Leased,48.59548,Alford,-123.416886
2019,JUL,Charlie Lake,8553 Hwy. 97 N.,BC,CA,B0037812,5369.7,SQ-M,Owned,56.27898056,Alford,-120.9600278
2019,JUL,Charlie Lake,8553 Hwy. 97 N.,BC,CA,B0037879,207.2,SQ-M,Owned,56.27873611,Alford,-120.9588639
2019,JUL,Charlie Lake,"8553 Hwy. 97, N.",BC,CA,N0001339,5.0008,HA,Owned,,Alford,
2019,JUL,Chetwynd,4744 52nd St.,BC,CA,B0067986,372.8,SQ-M,Leased,55.69811111,Alford,-121.6333056
2019,JUL,Chetwynd,4821 S. Access Rd.,BC,CA,B0091486,239.5,SQ-M,Leased,55.69641667,Alford,-121.6245833
2019,JUL,Chetwynd,5021 49th Ave.,BC,CA,B0066290,331.19,SQ-M,Leased,55.699126,Alford,-121.630148
2019,JUL,Chetwynd,5125 50th St. S.W. ,BC,CA,B1002577,557.4,SQ-M,Leased,55.695942,Alford,-121.629673
2019,JUL,Chilliwack,45467 Yale Rd.,BC,CA,B0091696,534,SQ-M,Leased,49.148054,Alford,-121.965031
2019,JUL,Chilliwack,45540 Yale Rd.,BC,CA,B0092554,963.85,SQ-M,Leased,49.151503,Alford,-121.96411
2019,JUL,Chilliwack,45890 Victoria Ave.,BC,CA,B0067332,277.8,SQ-M,Leased,49.17257222,Alford,-121.9545361
2019,JUL,Chilliwack,45960 Wellington Ave.,BC,CA,B0091910,1014.78,SQ-M,Leased,49.171388,Alford,-121.953762
2019,JUL,Chilliwack,46085 Yale Rd.,BC,CA,B0091782,2935.2,SQ-M,Owned,49.17072222,Alford,-121.9537778
2019,JUL,Chilliwack,46360 Airport Rd.,BC,CA,B0091580,1882,SQ-M,Leased,49.15574167,Alford,-121.9411611
2019,JUL,Chilliwack,46360 Airport Rd.,BC,CA,B0092270,184.97,SQ-M,Leased,49.155425,Alford,-121.9405083
2019,JUL,Chilliwack,46360 Airport Rd.,BC,CA,N0092272,0.458,HA,Leased,,Alford,
2019,JUL,Chilliwack,53033 Chilliwack Lake Rd.,BC,CA,N0001165,23.79,HA,Owned,,Alford,
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0023994,138.6,SQ-M,Owned,49.07797026,Alford,-121.7594361
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0024000,20.44,SQ-M,Owned,49.10518333,Alford,-121.6343417
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0024026,65.03,SQ-M,Owned,49.10503611,Alford,-121.63425
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0024034,111.48,SQ-M,Owned,49.10534167,Alford,-121.6344556
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0024059,393,SQ-M,Owned,49.10463889,Alford,-121.6353333
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0024075,4.46,SQ-M,Owned,49.07797026,Alford,-121.7594361
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0076661,17.9,SQ-M,Owned,49.10500278,Alford,-121.6341056
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0076679,24.5,SQ-M,Owned,49.07797026,Alford,-121.7594361
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0081141,204.8,SQ-M,Owned,49.07797026,Alford,-121.7594361
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0081158,204.8,SQ-M,Owned,49.07797026,Alford,-121.7594361
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0081166,204.8,SQ-M,Owned,49.07797026,Alford,-121.7594361
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0081174,204.8,SQ-M,Owned,49.07797026,Alford,-121.7594361
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0081182,913.9,SQ-M,Owned,49.10455556,Alford,-121.6346667
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0091467,950,SQ-M,Owned,49.10363889,Alford,-121.6346389
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B0091894,57.9,SQ-M,Owned,49.07797026,Alford,-121.7594361
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002467,166,SQ-M,Owned,49.104091,Alford,-121.633937
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002535,400,SQ-M,Owned,49.104572,Alford,-121.633371
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002635,56.52,SQ-M,Owned,49.105853,Alford,-121.634027
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002636,2.97,SQ-M,Owned,49.10274,Alford,-121.632797
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002637,51.84,SQ-M,Owned,49.10336,Alford,-121.6345
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002638,16.54,SQ-M,Owned,49.10497,Alford,-121.634
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002639,5.03,SQ-M,Owned,49.10497,Alford,-121.634
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002640,13.47,SQ-M,Owned,49.10497,Alford,-121.634
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002641,11.33,SQ-M,Owned,49.10497,Alford,-121.634
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002642,30.56,SQ-M,Owned,49.0147,Alford,-121.63333
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002643,1.95,SQ-M,Owned,49.10457,Alford,-121.6353
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002644,9.57,SQ-M,Owned,49.104475,Alford,-121.633491
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002645,3.09,SQ-M,Owned,49.10332,Alford,-121.6332
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002646,18.76,SQ-M,Owned,49.104082,Alford,-121.633222
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002647,15.6,SQ-M,Owned,49.104063,Alford,-121.633154
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002648,4.33,SQ-M,Owned,49.103573,Alford,-121.633437
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,CA,B1002649,73.86,SQ-M,Owned,49.10323,Alford,-121.6332
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002650,16.54,SQ-M,Owned,49.10301,Alford,-121.6335
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002651,7.43,SQ-M,Owned,49.1027,Alford,-121.6333
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002652,5.94,SQ-M,Owned,49.10265,Alford,-121.6329
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002653,7.06,SQ-M,Owned,49.10261,Alford,-121.6323
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002654,17.28,SQ-M,Owned,49.10357,Alford,-121.6338
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002655,105.04,SQ-M,Owned,49.1033,Alford,-121.6338
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002656,162.76,SQ-M,Owned,49.10312,Alford,-121.6332
2019,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002657,57.27,SQ-M,Owned,49.11031,Alford,-121.6332
2018,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002658,11.15,SQ-M,Owned,49.105522,Lucida,-121.3635
2018,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002659,11.61,SQ-M,Owned,49.10426,Lucida,-121.6348
2018,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002660,20.62,SQ-M,Owned,49.10318,Lucida,-121.6345
2018,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002661,5.88,SQ-M,Owned,49.104572,Lucida,-121.635587
2018,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002662,30.09,SQ-M,Owned,49.10549,Lucida,-121.6341
2018,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002663,10.59,SQ-M,Owned,49.105592,Lucida,-121.634251
2018,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002664,9.68,SQ-M,Owned,49.104128,Lucida,-121.632301
2018,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002665,15.61,SQ-M,Owned,49.105174,Lucida,-121.633162
2018,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002666,124.18,SQ-M,Owned,49.105598,Lucida,-121.633627
2018,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002667,101.73,SQ-M,Owned,49.105691,Lucida,-121.633713
2018,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,B1002668,8.52,SQ-M,Owned,49.105119,Lucida,-121.633223
2018,JUL,Chilliwack,57657 Chilliwack Lake Rd.,BC,WS,N0001164,16.5,HA,Owned,,Lucida,
2018,JUL,Chilliwack,6640 Vedder Rd.,BC,CA,B1002341,305.74,SQ-M,Leased,49.12385415,Lucida,-121.9599259
2018,JUL,Chilliwack,8978 School St.,BC,CA,B0068140,1328.47,SQ-M,Leased,49.165331,Lucida,-121.960483
2018,JUL,Chilliwack,Five Corners,BC,CA,N0091781,1,HA,Owned,,Lucida,
2018,JUL,Clearwater,209 Dutch Lake Rd.,BC,CA,B1002570,45.15,SQ-M,Leased,51.650155,Lucida,-120.065204
2018,JUL,Clearwater,660 Park Dr.,BC,CA,B0078202,402.1,SQ-M,Owned,51.64694722,Lucida,-120.0182139
2018,JUL,Clearwater,660 Park Dr.,BC,CA,N0001812,0.0432,HA,Leased,,Lucida,
2018,JUL,Clearwater,687 Yellowhead S. Hwy. 5,BC,CA,B0067027,1261.07,SQ-M,Leased,51.627275,Lucida,-120.0962972
2018,JUL,Clearwater,687 Yellowhead S. Hwy. 5,BC,CA,B0070474,75.2,SQ-M,Owned,51.62785278,Lucida,-120.0969056
2018,JUL,Clearwater,687 Yellowhead S. Hwy. 5,BC,CA,B0078003,25,SQ-M,Leased,51.627875,Lucida,-120.0966556
2018,JUL,Clearwater,687 Yellowhead S. Hwy. 5,BC,CA,B0078004,106.5,SQ-M,Leased,51.62781389,Lucida,-120.0965028
2019,JUL,Clinton,1423 Cariboo Hwy.,BC,CA,B0091816,60.73,SQ-M,Leased,51.091175,Lucida,-121.58805
2019,JUL,Colwood,1756 Old Island Hwy.,BC,CA,B0067192,2144.5,SQ-M,Leased,48.44816667,Lucida,-123.4666944
2019,JUL,Coquitlam,1478 Hartley Rd.,BC,CA,B0092040,767.56,SQ-M,Leased,49.226922,Lucida,-122.847823
2019,JUL,Coquitlam,1500 Woolridge St.,BC,CA,B1002452,7954.82,SQ-M,Leased,49.23178,Lucida,-122.851086
2019,JUL,Coquitlam,2370 United Blvd.,BC,CA,B0067731,4426.8,SQ-M,Leased,49.22603611,Lucida,-122.8254222
2019,JUL,Coquitlam,2601 Lougheed Highway,BC,CA,N2000572,1.0643,HA,Leased,,Lucida,
2019,JUL,Coquitlam,2601 Lougheed Hwy.,BC,CA,B0021675,1620.6,SQ-M,Leased,49.24862556,Lucida,-122.8024936
2019,JUL,Coquitlam,2601 Lougheed Hwy.,BC,CA,B0021683,91.32,SQ-M,Leased,49.25082988,Lucida,-122.806128
2019,JUL,Coquitlam,2601 Lougheed Hwy.,BC,CA,B0021766,1226.85,SQ-M,Leased,49.25038605,Lucida,-122.8031212
2019,JUL,Coquitlam,2601 Lougheed Hwy.,BC,CA,B0022046,641.03,SQ-M,Leased,49.25131135,Lucida,-122.8029603
2019,JUL,Coquitlam,2601 Lougheed Hwy.,BC,CA,B0022087,34.37,SQ-M,Leased,49.24798123,Lucida,-122.8077078
2019,JUL,Coquitlam,2601 Lougheed Hwy.,BC,CA,B0022285,947.88,SQ-M,Leased,49.25433312,Lucida,-122.8010559
2019,JUL,Coquitlam,2721 Lougheed Hwy.,BC,CA,B1002699,8917.8,SQ-M,Owned,,Lucida,
